date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-07T16:07:15+02:00,TKWW49KG--------------QFNL000400--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1910372,GUO Qing,Person,CHN,China,2,POINTS,W,,106
2024-08-07T16:07:15+02:00,TKWW49KG--------------QFNL000400--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1566732,DINCEL KAVURAT Merve,Person,TUR,Türkiye,0,POINTS,L,,103
2024-08-07T16:34:39+02:00,TKWW49KG--------------SFNL000100--,TKWW49KG,Women -49kg,Women -49kg Semifinal,Semifinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1569986,STOJKOVIC Lena,Person,CRO,Croatia,0,POINTS,L,,104
2024-08-07T16:34:39+02:00,TKWW49KG--------------SFNL000100--,TKWW49KG,Women -49kg,Women -49kg Semifinal,Semifinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1902841,WONGPATTANAKIT Panipak,Person,THA,Thailand,2,POINTS,W,,101
2024-08-07T17:03:33+02:00,TKWW49KG--------------SFNL000200--,TKWW49KG,Women -49kg,Women -49kg Semifinal,Semifinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1536064,NEMATZADEH Mobina,Person,IRI,IR Iran,0,POINTS,L,,107
2024-08-07T17:03:33+02:00,TKWW49KG--------------SFNL000200--,TKWW49KG,Women -49kg,Women -49kg Semifinal,Semifinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1910372,GUO Qing,Person,CHN,China,2,POINTS,W,,106
2024-08-07T19:42:47+02:00,TKWW49KG--------------REP1000200--,TKWW49KG,Women -49kg,Women -49kg Repechage,Repechage,FINISHED,W,Taekwondo,TKW,Grand Palais,1909136,ABUTALEB Dunya Ali M,Person,KSA,Saudi Arabia,2,POINTS,W,,109
2024-08-07T19:42:47+02:00,TKWW49KG--------------REP1000200--,TKWW49KG,Women -49kg,Women -49kg Repechage,Repechage,FINISHED,W,Taekwondo,TKW,Grand Palais,1541825,EL BOUCHTI Oumaima,Person,MAR,Morocco,0,POINTS,L,,117
2024-08-07T20:06:35+02:00,TKWW49KG--------------REP1000300--,TKWW49KG,Women -49kg,Women -49kg Repechage,Repechage,FINISHED,W,Taekwondo,TKW,Grand Palais,1894538,POURYOUNES LANGEROUDI Dina,Person,EOR,EOR,0,POINTS,L,,111
2024-08-07T20:06:35+02:00,TKWW49KG--------------REP1000300--,TKWW49KG,Women -49kg,Women -49kg Repechage,Repechage,FINISHED,W,Taekwondo,TKW,Grand Palais,1566732,DINCEL KAVURAT Merve,Person,TUR,Türkiye,2,POINTS,W,,103
2024-08-07T20:33:18+02:00,TKWW49KG--------------REPF000100--,TKWW49KG,Women -49kg,Women -49kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,W,Taekwondo,TKW,Grand Palais,1536064,NEMATZADEH Mobina,Person,IRI,IR Iran,2,POINTS,W,,107
2024-08-07T20:33:18+02:00,TKWW49KG--------------REPF000100--,TKWW49KG,Women -49kg,Women -49kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,W,Taekwondo,TKW,Grand Palais,1909136,ABUTALEB Dunya Ali M,Person,KSA,Saudi Arabia,0,POINTS,L,,109
2024-08-07T21:02:00+02:00,TKWW49KG--------------REPF000200--,TKWW49KG,Women -49kg,Women -49kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,W,Taekwondo,TKW,Grand Palais,1566732,DINCEL KAVURAT Merve,Person,TUR,Türkiye,0,POINTS,L,,103
2024-08-07T21:02:00+02:00,TKWW49KG--------------REPF000200--,TKWW49KG,Women -49kg,Women -49kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,W,Taekwondo,TKW,Grand Palais,1569986,STOJKOVIC Lena,Person,CRO,Croatia,2,POINTS,W,,104
2024-08-07T21:43:56+02:00,TKWW49KG--------------FNL-000100--,TKWW49KG,Women -49kg,Women -49kg Gold Medal Contest,Gold Medal Contest,FINISHED,W,Taekwondo,TKW,Grand Palais,1902841,WONGPATTANAKIT Panipak,Person,THA,Thailand,2,POINTS,W,,101
2024-08-07T21:43:56+02:00,TKWW49KG--------------FNL-000100--,TKWW49KG,Women -49kg,Women -49kg Gold Medal Contest,Gold Medal Contest,FINISHED,W,Taekwondo,TKW,Grand Palais,1910372,GUO Qing,Person,CHN,China,1,POINTS,L,,106
